ID|英文|日本語訳|チャンク1|チャンク2|チャンク3|チャンク4
1950|There was a bit of a fall in sales, but our profit actually increased thanks to the new product line.|売上は少し落ちたが、新製品ラインのおかげで利益は実際に増加した。|There was^S+V^core^～があった|a bit of a fall in sales,^Subject^core^売上の少しの減少が|but^Connector^connector^しかし|our profit actually increased^S+V^core^利益は実際に増加した
1951|Japanese artisans are admired all over the world for their outstanding craftsmanship.|日本の職人はその卓越した職人技で世界中から称賛されている。|Japanese artisans are admired^S+V^core^日本の職人は称賛されている|all over the world^Preposition^modifier^世界中で|for their outstanding craftsmanship.^Preposition^modifier^彼らの卓越した職人技に対して|
1952|There are actually a lot of companies that invest in renewable energy just for the sake of getting grants from the government.|政府からの助成金を得るためだけに再生可能エネルギーに投資している企業が実はたくさんある。|There are actually^V+Adv^core^実は～がある|a lot of companies^Subject^core^多くの会社が|that invest^Adj Clause^modifier^投資する|in renewable energy^Preposition^modifier^再生可能エネルギーに
1953|It's been only 10 minutes and you've already had three glasses of wine. You should pace yourself.|まだ10分しか経っていないのにもうワインを3杯も飲んでいる。ペースを落とした方がいい。|It's been only 10 minutes^S+V+C^core^たった10分しか経っていない|and^Connector^connector^そして|you've already had^S+V^core^あなたはすでに飲んだ|three glasses of wine.^Object^core^3杯のワインを
1954|The domestic market in Japan is huge. So, I don't think we need to think about selling overseas just yet.|日本の国内市場は巨大だ。だから、まだ海外販売について考える必要はないと思う。|The domestic market in Japan^Subject^core^日本の国内市場は|is huge.^V+C^core^巨大だ|So,^Connector^connector^だから|I don't think^S+V^core^私は思わない
1955|In my opinion, the smiley emoji is the most successful artwork of the 20th century.|私の意見では、スマイリーの絵文字は20世紀で最も成功した芸術作品だ。|In my opinion,^Preposition^modifier^私の意見では|the smiley emoji is^S+V^core^スマイリーの絵文字は～だ|the most successful artwork^Complement^core^最も成功した芸術作品|of the 20th century.^Preposition^modifier^20世紀の
1956|We went to see a romantic movie, but my girlfriend was so bored that she fell asleep after only half an hour.|恋愛映画を見に行ったが、彼女はあまりに退屈して、わずか30分で寝てしまった。|We went to see^S+V^core^私たちは見に行った|a romantic movie,^Object^core^恋愛映画を|but^Connector^connector^しかし|my girlfriend was so bored^S+V+C^core^彼女はとても退屈だった
1957|Public transportation in Tokyo is really confusing because there's so many different lines.|東京の公共交通機関は、路線があまりに多くて本当にわかりにくい。|Public transportation in Tokyo^Subject^core^東京の公共交通機関は|is really confusing^V+C^core^本当に混乱させる（わかりにくい）|because^Connector^connector^なぜなら|there's so many^S+V^core^非常に多くの～があるから
1958|Japan introduced a constitution for the first time in its history during the Meiji era.|日本は明治時代に、歴史上初めて憲法を導入した。|Japan introduced a constitution^S+V+O^core^日本は憲法を導入した|for the first time^Preposition^modifier^初めて|in its history^Preposition^modifier^歴史上で|during the Meiji era.^Preposition^modifier^明治時代に
1959|I personally think studying abroad gives you better options, but the choice is yours.|個人的には留学した方が良い選択肢が得られると思うが、選ぶのは君だ。|I personally think^S+V^core^私は個人的に思う|studying abroad gives you^Noun Clause^core^留学があなたに与えると|better options,^Object^core^より良い選択肢を|but^Connector^connector^しかし
1960|I'd urge your kids to go to college as an insurance policy unless there's something that they're passionate about doing.|何か情熱を持っていることがない限り、保険として大学に行くことを子供たちに強く勧めるよ。|I'd urge your kids^S+V+O^core^私はあなたの子供に強く勧める|to go to college^Infinitive^modifier^大学へ行くことを|as an insurance policy^Preposition^modifier^保険として|unless there's something^Connector+S+V^modifier^何かがない限り
1961|My mom acts like she doesn't care about me, but I know deep inside her heart she loves me.|母は私のことなんてどうでもいいような振る舞いをするが、心の奥底では私を愛してくれていると知っている。|My mom acts^S+V^core^母は振る舞う|like she doesn't care about me,^Adv Clause^modifier^まるで私のことを気にしていないかのように|but^Connector^connector^しかし|I know^S+V^core^私は知っている
1962|The radiation emitted from cell phones and computers is very small. So I don't think it will damage our health.|携帯電話やコンピュータから放出される放射線はごく微量だ。だから、健康を害するとは思わない。|The radiation emitted^S+Participle^core^放出される放射線は|from cell phones and computers^Preposition^modifier^携帯電話やPCからの|is very small.^V+C^core^非常に微量だ|So^Connector^connector^だから
1963|Some people say that manufacturing is one of the industries that will soon be disrupted by artificial intelligence.|製造業は、まもなく人工知能によって破壊される産業の一つだと言う人もいる。|Some people say^S+V^core^と言う人もいる|that manufacturing is^Connector+S+V^core^製造業は～であると|one of the industries^Complement^core^産業の一つ|that will soon be disrupted^Adj Clause^modifier^まもなく破壊されるであろう
1964|There are a few mechanisms that we can leverage to fix the economy, but the longer we wait, the less effective they'll be.|経済を立て直すために活用できる仕組みはいくつかあるが、待てば待つほど効果は薄れていく。|There are a few mechanisms^S+V+C^core^いくつかの仕組みがある|that we can leverage^Adj Clause^modifier^私たちが活用できる|to fix the economy,^Infinitive^modifier^経済を直すために|but^Connector^connector^しかし
1965|Tracy and I used to be close, but we haven't spoken much since her boyfriend came back from the UK.|トレイシーと私は仲が良かったが、彼女の彼氏がイギリスから帰ってきて以来、あまり話していない。|Tracy and I used to be close,^S+V+C^core^トレイシーと私はかつて親しかった|but^Connector^connector^しかし|we haven't spoken much^S+V^core^私たちはあまり話していない|since her boyfriend came back^Adv Clause^modifier^彼女の彼氏が帰ってきて以来
1966|I respect this tennis player so much because even when he loses, he loses with dignity.|このテニス選手をとても尊敬している。なぜなら、たとえ負ける時でも、彼は威厳を持って負けるからだ。|I respect this tennis player^S+V+O^core^私はこのテニス選手を尊敬している|so much^Adverb^modifier^とても|because^Connector^connector^なぜなら|even when he loses,^Adv Clause^modifier^彼が負ける時でさえ
1967|At the end of the day, I think language learning comes down to removing mental barriers.|結局のところ、語学学習はメンタルブロックを取り除くことに尽きると思う。|At the end of the day,^Idiom^modifier^結局のところ|I think^S+V^core^私は思う|language learning comes down to^Noun Clause^core^語学学習は～に帰着する|removing mental barriers.^Gerund^core^精神的な障壁を取り除くことに
1968|Consultants use way too many buzzwords. I can never understand what they're talking about.|コンサルタントは専門用語（バズワード）を使いすぎる。彼らが何を言っているのか全く理解できない。|Consultants use^S+V^core^コンサルタントは使う|way too many buzzwords.^Object^core^あまりにも多くのバズワードを|I can never understand^S+V^core^私は決して理解できない|what they're talking about.^Noun Clause^core^彼らが何について話しているかを
1969|This report says that car pooling just once a week can reduce our carbon emissions by 15%.|この報告書によると、週に一度相乗りをするだけで、二酸化炭素排出量を15%削減できるそうだ。|This report says^S+V^core^この報告書は述べている|that car pooling^Connector+S^core^相乗り（カープール）は|just once a week^Adverb^modifier^週にたった一度だけでも|can reduce^Verb^core^減らすことができる
1970|I like meeting people with personalities that are different from my own because it broadens my perspective.|自分とは違う性格の人に会うのが好きだ。視野を広げてくれるから。|I like meeting people^S+V+O^core^私は人々に会うのが好きだ|with personalities^Preposition^modifier^性格を持った|that are different^Adj Clause^modifier^異なっている|from my own^Preposition^modifier^私自身のものとは
1971|There was a sharp increase in our sales thanks to a popular YouTuber talking about our products.|人気YouTuberがうちの商品を取り上げてくれたおかげで、売上が急増した。|There was^S+V^core^～があった|a sharp increase^Subject^core^急激な増加が|in our sales^Preposition^modifier^売上における|thanks to a popular YouTuber^Preposition^modifier^人気YouTuberのおかげで
1972|It was a really tough decision to make, but we decided to have the steak instead of the fish.|本当に難しい決断だったが、魚ではなくステーキにすることにした。|It was a really tough decision^S+V+C^core^それは本当に難しい決断だった|to make,^Infinitive^modifier^下すのに|but^Connector^connector^しかし|we decided to have the steak^S+V+O^core^私たちはステーキを食べることにした
1973|The winner of this competition will be decided through an aggregate score of home and away games.|この大会の勝者は、ホーム＆アウェーの合計スコアで決定される。|The winner of this competition^Subject^core^この大会の勝者は|will be decided^Verb^core^決定される|through an aggregate score^Preposition^modifier^合計スコアを通して|of home and away games.^Preposition^modifier^ホームとアウェーの試合の
1974|Stock trading sounds so easy. I just need to buy low and sell high, right?|株取引なんて簡単そうだね。安く買って高く売ればいいだけでしょ？|Stock trading sounds so easy.^S+V+C^core^株式取引はとても簡単に聞こえる|I just need to buy low^S+V+C^core^私はただ安く買う必要がある|and sell high, right?^Coordination^core^そして高く売る、でしょ？|
1975|Oh god, I spent the whole week preparing this document. It now says that the file is corrupt.|うわっ、この書類を作るのに丸一週間かけたのに。「ファイルが破損しています」だって。|Oh god,^Interjection^modifier^なんてことだ|I spent the whole week^S+V+O^core^私は丸一週間費やした|preparing this document.^Participle^modifier^この書類を準備するのに|It now says^S+V^core^それは今表示している
1976|I tried working on the beach, but the monitor on my laptop reflected too much light for me to see.|ビーチで仕事をしようとしたが、ノートパソコンの画面が光を反射しすぎて見えなかった。|I tried working^S+V+O^core^私は仕事をしようとした|on the beach,^Preposition^modifier^ビーチで|but^Connector^connector^しかし|the monitor on my laptop^Subject^core^ラップトップのモニターが
1977|Financial independence is only realizable if you invest your time and money well when you're young.|経済的自立は、若いうちに時間とお金をうまく投資して初めて実現可能になる。|Financial independence is^S+V^core^経済的自立は～だ|only realizable^Complement^core^実現可能でしかない|if you invest^Adv Clause^modifier^もしあなたが投資すれば|your time and money well^Object^modifier^時間とお金をうまく
1978|I don't mind speaking in front of small crowds, but big audiences make me nervous.|少人数の前で話すのは気にならないが、大勢の観衆の前だと緊張してしまう。|I don't mind speaking^S+V+O^core^私は話すことを気にしない|in front of small crowds,^Preposition^modifier^少人数の前で|but^Connector^connector^しかし|big audiences make me nervous.^S+V+O+C^core^大観衆は私を緊張させる
1979|I worked hard but my success is also owing to a lot of luck and support from others.|私は懸命に働いたが、私の成功は多くの運と他人からのサポートのおかげでもある。|I worked hard^S+V^core^私は一生懸命働いた|but^Connector^connector^しかし|my success is also owing^S+V+C^core^私の成功はまた負っている（おかげだ）|to a lot of luck^Preposition^modifier^多くの運に
1980|My ambition is to become a millionaire even though I only have 300 yen in my wallet right now.|今は財布に300円しか入っていないが、私の野望は億万長者になることだ。|My ambition is^S+V^core^私の野望は～だ|to become a millionaire^Infinitive^core^億万長者になること|even though^Connector^connector^～だけれども|I only have 300 yen^S+V+O^core^私は300円しか持っていない
1982|Chemotherapy in combination with other types of treatment can contribute significantly to curing cancer.|化学療法は、他の治療法と組み合わせることで、癌の治癒に大きく貢献する可能性がある。|Chemotherapy^Subject^core^化学療法は|in combination with^Preposition^modifier^～と組み合わせて|other types of treatment^Object^modifier^他の種類の治療|can contribute significantly^Verb+Adv^core^著しく貢献しうる
1983|Mixing tree sap with mud in the right way creates a compound that you can use as glue.|木の樹液と泥を正しい方法で混ぜ合わせると、接着剤として使える化合物ができる。|Mixing tree sap with mud^Subject^core^木の樹液と泥を混ぜることは|in the right way^Preposition^modifier^正しい方法で|creates a compound^V+O^core^化合物を作り出す|that you can use^Adj Clause^modifier^あなたが使える
1984|I like that philosophy cast doubt on what's commonly believed to be true and presents new ways of thinking.|その哲学が、一般に真実だと信じられていることに疑問を投げかけ、新しい考え方を提示しているところが好きだ。|I like^S+V^core^私は好む|that philosophy cast doubt^Noun Clause^core^その哲学が疑問を投げかける点を|on what's commonly believed^Preposition^modifier^一般に信じられていることに対して|to be true^Infinitive^modifier^真実であると
1985|It was a very short video, but it went viral on social media because it covered a lot of important content.|とても短い動画だったが、重要な内容が多く含まれていたため、SNSで拡散（バズ）された。|It was a very short video,^S+V+C^core^それはとても短い動画だった|but^Connector^connector^しかし|it went viral^S+V+C^core^それは急速に広まった|on social media^Preposition^modifier^ソーシャルメディアで
1986|Oh my god, he's so good-looking. I think he has a perfectly sculpted face.|なんてこと、彼はすごくイケメン。完璧に彫刻されたような顔立ちだと思う。|Oh my god,^Interjection^modifier^なんてことだ|he's so good-looking.^S+V+C^core^彼はとても見た目が良い|I think^S+V^core^私は思う|he has^S+V^core^彼が持っていると
1987|There are many ways to reduce our impact on the environment. So, there's really no excuse to do nothing.|環境への負荷を減らす方法はたくさんある。だから、何もしないことへの言い訳は本当にできない。|There are many ways^S+V+C^core^多くの方法がある|to reduce our impact^Infinitive^modifier^私たちの影響を減らすための|on the environment.^Preposition^modifier^環境に対する|So,^Connector^connector^だから
1988|I am surprised that you don't get along with Jean because she's not really a disagreeable sort of person.|ジーンと気が合わないなんて意外だ。彼女はそんなに付き合いにくい人じゃないのに。|I am surprised^S+V+C^core^私は驚いている|that you don't get along^Noun Clause^core^あなたが仲良くやっていないことに|with Jean^Preposition^modifier^ジーンと|because^Connector^connector^なぜなら
1989|We have a lot of injured players on our team, but our performance hasn't been that bad so far.|チームに怪我人は多いが、これまでのところパフォーマンスはそれほど悪くない。|We have^S+V^core^私たちは抱えている|a lot of injured players^Object^core^多くの怪我をした選手を|on our team,^Preposition^modifier^チームに|but^Connector^connector^しかし
1990|My parents came to this country as refugees and managed to make a life for themselves.|両親は難民としてこの国に来て、なんとか生活基盤を築き上げた。|My parents came^S+V^core^私の両親は来た|to this country^Preposition^modifier^この国へ|as refugees^Preposition^modifier^難民として|and managed to make^Coordination^core^そしてなんとか作った
1991|He's vastly experienced in a lot of different industries, so I think he'll be a great addition to the team.|彼は多くの異なる業界で非常に経験豊富なので、チームにとって素晴らしい戦力になると思う。|He's vastly experienced^S+V+C^core^彼は非常に経験豊富だ|in a lot of different industries,^Preposition^modifier^多くの異なる産業において|so^Connector^connector^だから|I think^S+V^core^私は思う
1992|Charging $200 for just 1 kilogram of excess baggage is a bit ridiculous, isn't it?|たった1キロの超過手荷物に200ドルも請求するのは、ちょっと馬鹿げていると思わないか？|Charging $200^Subject^core^200ドル請求することは|for just 1 kilogram^Preposition^modifier^たった1キログラムに対して|of excess baggage^Preposition^modifier^超過手荷物の|is a bit ridiculous,^V+C^core^少し馬鹿げている
1993|Being CPA qualified is one of the requirements for working at an accounting firm in Japan.|公認会計士(CPA)の資格を持っていることは、日本の監査法人で働くための要件の一つだ。|Being CPA qualified^Subject^core^CPAの資格を持っていることは|is one of the requirements^V+C^core^要件の一つである|for working^Preposition^modifier^働くための|at an accounting firm^Preposition^modifier^会計事務所で
1994|Sarah behaved as if the world was going to end when a tiny fly landed on her croissant.|サラは、小さなハエがクロワッサンに止まっただけで、まるで世界が終わるかのように振る舞った。|Sarah behaved^S+V^core^サラは振る舞った|as if the world^Adv Clause^modifier^まるで世界が|was going to end^Verb^modifier^終わろうとしているかのように|when a tiny fly landed^Adv Clause^modifier^小さなハエが着地した時
1995|The suicide rate has dropped dramatically over the last few decades, but it's still too high.|自殺率は過去数十年で劇的に低下したが、それでもまだ高すぎる。|The suicide rate has dropped^S+V^core^自殺率は低下した|dramatically^Adverb^modifier^劇的に|over the last few decades,^Preposition^modifier^過去数十年にわたって|but^Connector^connector^しかし
1996|I was flexing my abs all day yesterday and my six-pack is unbelievably beautiful now.|昨日一日中腹筋に力を入れていたから、今の俺のシックスパックは信じられないほど美しいぜ。|I was flexing my abs^S+V+O^core^私は腹筋を収縮させていた|all day yesterday^Adverb^modifier^昨日一日中|and^Connector^connector^そして|my six-pack is^S+V^core^私のシックスパックは～だ
1997|Revolving payment reduces the monthly burden, but in the long run, interest adds up. So, it's dangerous, too.|リボ払いは月々の負担を減らしてくれるが、長期的には利子が嵩む。だから危険でもある。|Revolving payment reduces^S+V^core^リボルビング払いは減らす|the monthly burden,^Object^core^月々の負担を|but^Connector^connector^しかし|in the long run,^Preposition^modifier^長い目で見れば
1999|I find it interesting how many people follow Apple products religiously, even though I'm one of them.|私もその一人なのだが、Apple製品を宗教のように信奉している人がこれほど多いのは興味深いと思う。|I find it interesting^S+V+C^core^私はそれが興味深いとわかる|how many people follow^Noun Clause^core^どれほど多くの人が追いかけているか|Apple products religiously,^Object+Adv^core^Apple製品を熱心に|even though^Connector^connector^～だけれども
2000|I'm getting delayed reactions on my computer. So, I'm going to uninstall some of my unused programs.|パソコンの反応が遅くなっています。ですから、使っていないプログラムをいくつかアンインストールするつもりです。|I'm getting^Subject + Verb^core^私は得ている（反応が～になっている）|delayed reactions^Object^core^遅れた反応を|on my computer.^Prepositional Phrase^modifier^私のコンピュータで|So,^Conjunction^connector^だから
2001|I strongly recommend you go to graduate school if you want further specialized knowledge in a particular area.|特定の分野でさらに専門的な知識を得たいのであれば、大学院に進むことを強くお勧めします。|I strongly recommend^Subject + Verb^core^私は強く勧める|you go^Subject + Verb^core^あなたが行くことを|to graduate school^Prepositional Phrase^modifier^大学院へ|if you want^Conjunction + Subject + Verb^modifier^もしあなたが望むなら
2002|My grandma solves crossword puzzles every day to exercise her gray matter.|祖母は脳（灰白質）を鍛えるために、毎日クロスワードパズルを解いています。|My grandma solves^Subject + Verb^core^祖母は解く|crossword puzzles^Object^core^クロスワードパズルを|every day^Adverb^modifier^毎日|to exercise^Infinitive^modifier^運動させる（鍛える）ために
2003|My university offered me a scholarship for my first two years, which made things so much easier.|大学が最初の2年間奨学金を出してくれたので、生活がとても楽になりました。|My university offered me^Subject + Verb + Object^core^大学は私に提供した|a scholarship^Object^core^奨学金を|for my first two years,^Prepositional Phrase^modifier^私の最初の2年間|which made things^Relative Clause^connector^そしてそれは物事を～にした
2004|My mom started lecturing me again on how dangerous it is to travel overseas by myself.|一人で海外旅行をするのがいかに危険かについて、母がまた説教を始めました。|My mom started lecturing me^Subject + Verb + Object^core^母は私に説教し始めた|again^Adverb^modifier^再び|on how dangerous it is^Prepositional Phrase (Clause)^modifier^いかにそれが危険かについて|to travel overseas^Infinitive^core^海外を旅行することは
2005|His English is great, but his TOEIC scores are never good because his attention span is so short.|彼の英語は素晴らしいですが、集中力がとても短いため、TOEICのスコアは決して良くありません。|His English is great,^Subject + Verb + Complement^core^彼の英語は素晴らしい|but^Conjunction^connector^しかし|his TOEIC scores are never good^Subject + Verb + Complement^core^彼のTOEICスコアは決して良くない|because^Conjunction^connector^なぜなら
2006|Because I also moved to this country not too long ago, I understand the struggles that new immigrants face.|私もつい最近この国に引っ越してきたので、新しい移民が直面する苦労は理解しています。|Because I also moved^Conjunction + Subject + Verb^connector^私も引っ越したので|to this country^Prepositional Phrase^modifier^この国へ|not too long ago,^Adverb^modifier^それほど昔ではなく（つい最近）|I understand^Subject + Verb^core^私は理解する
2007|Long hours seem to be a recurring theme in these employee surveys. So, we should look into why that is.|これらの従業員アンケートでは、長時間労働が繰り返し出てくるテーマのようです。ですから、その理由を調査すべきです。|Long hours seem to be^Subject + Verb^core^長時間労働は～であるようだ|a recurring theme^Complement^core^繰り返されるテーマ|in these employee surveys.^Prepositional Phrase^modifier^これらの従業員調査において|So,^Conjunction^connector^だから
2008|David is so ignorant. I feel like I have to explain every little thing to him.|デビッドは本当に無知です。些細なことまでいちいち説明しなければならないような気がします。|David is so ignorant.^Subject + Verb + Complement^core^デビッドはとても無知だ|I feel like^Subject + Verb^core^私は～のように感じる|I have to explain^Subject + Verb^core^私は説明しなければならないと|every little thing^Object^core^あらゆる些細なことを
2009|You should delete your browsing history before you let someone else handle your smartphone, just in case.|念のため、他の人にスマートフォンを操作させる前に、閲覧履歴を削除しておいた方がいいですよ。|You should delete^Subject + Verb^core^あなたは削除すべきだ|your browsing history^Object^core^あなたの閲覧履歴を|before you let someone else handle^Conjunction + Subject + Verb + Object^modifier^誰か他の人に扱わせる前に|your smartphone,^Object^core^あなたのスマホを
2010|Older people in the company often fear their skills will be eclipsed by the knowledge and ability of new hires.|社内の年配者は、自分のスキルが新入社員の知識や能力によって影が薄くなることを恐れることがよくあります。|Older people in the company^Subject^core^会社内の年配の人々は|often fear^Verb^core^しばしば恐れる|their skills will be eclipsed^Subject + Verb (Passive)^core^彼らのスキルが覆い隠される（影が薄くなる）ことを|by the knowledge and ability^Prepositional Phrase^modifier^知識と能力によって
2011|I'm sorry I can't let you submit this assignment after the deadline because of the precedent it would set.|申し訳ありませんが、前例を作ってしまうことになるため、期限後の課題提出は認められません。|I'm sorry^Idiom^connector^申し訳ないが|I can't let you submit^Subject + Verb + Object + Infinitive^core^私はあなたに提出させられない|this assignment^Object^core^この課題を|after the deadline^Prepositional Phrase^modifier^締切の後に
2012|People shout at me all the time, but I guess it comes with the territory when you work at a call center.|いつも人から怒鳴られていますが、コールセンターで働いている以上、それは避けられないこと（仕事の一部）だと思っています。|People shout at me^Subject + Verb^core^人々は私に叫ぶ（怒鳴る）|all the time,^Adverb^modifier^いつも|but^Conjunction^connector^しかし|I guess^Subject + Verb^core^私は思う
2013|The elderly often say the youth of today have bad manners. But I think they were ruder.|年配の方はよく「今の若者はマナーが悪い」と言います。でも、彼らの方がもっと失礼だったと思います。|The elderly often say^Subject + Verb^core^年配者はしばしば言う|the youth of today^Subject^core^今日の若者は|have bad manners.^Verb + Object^core^悪いマナーを持っていると|But^Conjunction^connector^しかし
2014|Even if you're from a poor family, you have the option of getting a scholarship to study at university.|たとえ貧しい家庭の出身であっても、大学で勉強するために奨学金を得るという選択肢があります。|Even if^Conjunction^connector^たとえ～でも|you're from a poor family,^Subject + Verb + Prepositional Phrase^modifier^あなたが貧しい家族の出身である|you have the option^Subject + Verb + Object^core^あなたには選択肢がある|of getting a scholarship^Prepositional Phrase^modifier^奨学金を得るという
2015|Auroras are caused by a particular type of particle being emitted into the Earth's upper atmosphere.|オーロラは、特定の種類の粒子が地球の上層大気に放出されることによって引き起こされます。|Auroras are caused^Subject + Verb (Passive)^core^オーロラは引き起こされる|by a particular type of particle^Prepositional Phrase^modifier^粒子の特定のタイプによって|being emitted^Participle^modifier^放出される|into the Earth's upper atmosphere.^Prepositional Phrase^modifier^地球の上層大気の中へ
2016|This house doesn't have a roof, windows, or even doors. It's obviously unfit for human habitation.|この家には屋根も窓も、ドアさえもありません。明らかに人が住むのには適していません。|This house doesn't have^Subject + Verb^core^この家は持っていない|a roof, windows, or even doors.^Object^core^屋根、窓、あるいはドアさえも|It's obviously unfit^Subject + Verb + Complement^core^それは明らかに不適合だ|for human habitation.^Prepositional Phrase^modifier^人間の居住にとって
2017|I bought some new golf balls just last week, but subsequently lost all of them over the weekend.|先週新しいゴルフボールを買ったばかりなのに、週末に全部なくしてしまいました。|I bought^Subject + Verb^core^私は買った|some new golf balls^Object^core^いくつかの新しいゴルフボールを|just last week,^Adverb^modifier^つい先週|but^Conjunction^connector^しかし
2018|Isn't your iPhone white? I think there's an astronomically low chance of you finding it in this snow.|あなたのiPhoneは白じゃありませんでしたっけ？ この雪の中で見つかる確率は天文学的に低いと思いますよ。|Isn't your iPhone white?^Verb + Subject + Complement^core^あなたのiPhoneは白ではないか？|I think^Subject + Verb^core^私は思う|there's an astronomically low chance^Verb + Subject^core^天文学的に低いチャンス（確率）しかないと|of you finding it^Prepositional Phrase^modifier^あなたがそれを見つける
2019|You can take a virtual reality tour of different sorts of celestial bodies using this cutting-edge VR headset.|この最先端のVRヘッドセットを使って、様々な種類の天体のバーチャルリアリティツアーを体験できます。|You can take^Subject + Verb^core^あなたは取ることができる（体験できる）|a virtual reality tour^Object^core^VRツアーを|of different sorts of celestial bodies^Prepositional Phrase^modifier^異なる種類の天体の|using^Participle^modifier^～を使って
2020|We can't make products that suit the needs of every customer. So, we should first decide who we're targeting.|すべての顧客のニーズに合う製品を作ることはできません。ですから、まずはターゲットを誰にするか決めるべきです。|We can't make^Subject + Verb^core^我々は作れない|products^Object^core^製品を|that suit the needs^Relative Clause^modifier^ニーズに合う|of every customer.^Prepositional Phrase^modifier^すべての顧客の
2021|It's obvious that Fred gets special treatment from the boss just because they went to the same university.|同じ大学出身というだけで、フレッドが上司から特別扱いを受けているのは明らかです。|It's obvious^Subject + Verb + Complement^core^それは明らかだ|that Fred gets^Subject + Verb^core^フレッドが受けていることは|special treatment^Object^core^特別扱いを|from the boss^Prepositional Phrase^modifier^上司から
2022|It's just a concept at this stage, but I'm confident that my online store is going to make a killing.|現段階ではまだ構想にすぎませんが、私のオンラインストアは大成功すると確信しています。|It's just a concept^Subject + Verb + Complement^core^それは単なる構想だ|at this stage,^Prepositional Phrase^modifier^この段階では|but^Conjunction^connector^しかし|I'm confident^Subject + Verb + Complement^core^私は確信している
2023|While his constant texting could be a sign of love, it could be interpreted as something more sinister.|彼の絶え間ないメールは愛の証かもしれませんが、もっと不吉なもの（ストーカーなど）とも解釈できます。|While^Conjunction^connector^～だけれども|his constant texting^Subject^core^彼の絶え間ないメールは|could be a sign^Verb + Complement^core^サインかもしれない|of love,^Prepositional Phrase^modifier^愛の
2024|I can't believe that Arctic foxes don't start to shiver until the temperature goes below 7°.|ホッキョクギツネが、気温が7度（恐らくマイナス）を下回るまで震え始めないなんて信じられません。|I can't believe^Subject + Verb^core^私は信じられない|that Arctic foxes^Subject (Clause)^core^ホッキョクギツネが|don't start to shiver^Verb^core^震え始めないなんて|until^Conjunction^connector^～まで
2025|I'm not sure if coffee actually improves my cognition or whether it's just a placebo.|コーヒーが実際に認知能力を向上させているのか、それとも単なるプラセボ（思い込み）なのかよく分かりません。|I'm not sure^Subject + Verb + Complement^core^私は確信がない|if coffee actually improves^Conjunction + Subject + Verb^core^コーヒーが実際に向上させるか|my cognition^Object^core^私の認知能力を|or whether^Conjunction^connector^あるいは～かどうか
2026|We need to clearly define the scope of our work so that we can figure out how many people to put onto the project.|プロジェクトに何人配置すべきか把握するために、業務の範囲を明確に定義する必要があります。|We need to clearly define^Subject + Verb^core^我々は明確に定義する必要がある|the scope of our work^Object^core^業務の範囲を|so that^Conjunction^connector^～するように|we can figure out^Subject + Verb^core^我々が把握できるように
2027|A large subset of the patients in the trial responded positively to the medication.|その臨床試験に参加した患者の大部分が、薬に対して肯定的な反応を示しました。|A large subset^Subject^core^大きな部分集合は|of the patients in the trial^Prepositional Phrase^modifier^試験の患者たちの|responded positively^Verb + Adverb^core^肯定的に反応した|to the medication.^Prepositional Phrase^modifier^その薬に対して
2028|I read in the newspaper that the massive hole in the ozone layer over Antarctica is gradually becoming smaller.|南極上空のオゾン層にある巨大な穴が、徐々に小さくなっていると新聞で読みました。|I read^Subject + Verb^core^私は読んだ|in the newspaper^Prepositional Phrase^modifier^新聞で|that the massive hole^Subject (Clause)^core^巨大な穴が|in the ozone layer^Prepositional Phrase^modifier^オゾン層の
2029|Now that you've signed the contract, we can't modify it from this point on unless we both agree.|契約書に署名した以上、双方が合意しない限り、今後は修正できません。|Now that^Conjunction^connector^今や～なので|you've signed the contract,^Subject + Verb + Object^core^あなたが契約書に署名した|we can't modify it^Subject + Verb + Object^core^我々はそれを修正できない|from this point on^Prepositional Phrase^modifier^この時点から先は
2030|There hasn't been a recession in this country for a while. I hope it doesn't mean that the next one will be bad.|この国ではしばらく不況が起きていません。それが、次に来る不況が酷いものになることを意味しなければいいのですが。|There hasn't been a recession^Subject + Verb^core^不況は起きていない|in this country^Prepositional Phrase^modifier^この国で|for a while.^Adverb^modifier^しばらくの間|I hope^Subject + Verb^core^私は願う
2031|This new phone will definitely take center stage at the tech expo next month.|この新しい携帯電話は、来月の技術博覧会で間違いなく注目の的になるでしょう。|This new phone^Subject^core^この新しい電話は|will definitely take center stage^Verb + Object^core^間違いなく主役になるだろう|at the tech expo^Prepositional Phrase^modifier^技術博覧会で|next month.^Adverb^modifier^来月
2032|The acceleration on Emma's new car is insane. Riding in it, it feels like being in a video game.|エマの新しい車の加速は常軌を逸しています。乗っていると、まるでテレビゲームの中にいるような気分になります。|The acceleration^Subject^core^加速は|on Emma's new car^Prepositional Phrase^modifier^エマの新車の|is insane.^Verb + Complement^core^正気じゃない（すごい）|Riding in it,^Participle^modifier^それに乗っていると
2033|Do you hate the bitter taste of coffee? It's an acquired taste, so just keep drinking it and you'll appreciate it eventually.|コーヒーの苦味が嫌いですか？ それは「習い覚える味（大人の味）」なので、飲み続ければそのうち良さが分かりますよ。|Do you hate^Subject + Verb^core^あなたは嫌いですか|the bitter taste of coffee?^Object^core^コーヒーの苦味を|It's an acquired taste,^Subject + Verb + Complement^core^それは慣れて覚える味だ|so^Conjunction^connector^だから
